Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D0:04:01:FF:1F:D1, 2018-05-31 10:40:57, 2018-05-31 10:40:57, -63,        2, (not associated) ,
AA:8E:B2:0A:C5:9F, 2018-05-31 10:40:57, 2018-05-31 10:40:57, -78,        2, (not associated) ,
7C:67:A2:86:3D:F5, 2018-05-31 10:39:50, 2018-05-31 10:40:56, -78,        3, (not associated) ,PSU Secure
3A:1C:91:08:E0:40, 2018-05-31 10:40:55, 2018-05-31 10:40:55, -86,        2, (not associated) ,TMobileWingman
DE:4F:0F:9A:AA:8F, 2018-05-31 10:40:44, 2018-05-31 10:40:44, -74,        1, (not associated) ,
70:F0:87:68:C8:77, 2018-05-31 10:38:45, 2018-05-31 10:40:30, -83,       16, 50:17:FF:9E:61:10,PSU
80:58:F8:D3:8C:29, 2018-05-31 10:20:50, 2018-05-31 10:40:17, -65,      268, 40:F4:EC:B3:AA:72,PSU Secure
78:88:6D:8F:35:90, 2018-05-31 10:28:58, 2018-05-31 10:40:21, -71,       42, 50:17:FF:9E:61:10,PSU
12:EB:6C:9B:EA:9A, 2018-05-31 10:40:19, 2018-05-31 10:40:19, -86,        2, (not associated) ,
32:9B:F1:B0:BF:68, 2018-05-31 10:40:08, 2018-05-31 10:40:08, -85,        1, (not associated) ,
DA:A1:19:71:47:FB, 2018-05-31 10:40:07, 2018-05-31 10:40:07, -92,        1, (not associated) ,
5A:D7:F9:34:8E:A3, 2018-05-31 10:39:58, 2018-05-31 10:39:58, -86,        1, (not associated) ,
E2:2B:C6:C5:DC:53, 2018-05-31 10:39:58, 2018-05-31 10:39:58, -88,        1, (not associated) ,
02:FA:60:D8:B1:99, 2018-05-31 10:39:42, 2018-05-31 10:39:42, -47,       14, (not associated) ,TMobileWingman
B2:88:2F:5B:1E:E1, 2018-05-31 10:39:45, 2018-05-31 10:39:45, -64,        3, (not associated) ,
96:2C:41:E5:B9:99, 2018-05-31 10:39:43, 2018-05-31 10:39:43, -70,        1, (not associated) ,
1A:DB:23:69:7F:03, 2018-05-31 10:39:44, 2018-05-31 10:39:44, -76,        2, (not associated) ,
DA:A1:19:E2:F0:47, 2018-05-31 10:39:43, 2018-05-31 10:39:43, -82,        2, (not associated) ,
32:94:C5:10:12:AB, 2018-05-31 10:39:46, 2018-05-31 10:39:46, -85,        1, (not associated) ,
A6:AD:6E:7A:F9:FF, 2018-05-31 10:39:45, 2018-05-31 10:39:45, -85,        1, (not associated) ,
DA:A1:19:EE:69:1D, 2018-05-31 10:39:46, 2018-05-31 10:39:46, -87,        1, (not associated) ,
4C:66:41:2E:43:8C, 2018-05-31 10:21:36, 2018-05-31 10:39:30, -80,       19, (not associated) ,attwifi
2E:81:0C:34:DC:30, 2018-05-31 10:39:22, 2018-05-31 10:39:22, -65,        3, (not associated) ,
BA:A1:3E:65:A3:7E, 2018-05-31 10:39:18, 2018-05-31 10:39:18, -69,        2, (not associated) ,
E2:90:DB:29:5A:A3, 2018-05-31 10:39:19, 2018-05-31 10:39:20, -71,        3, (not associated) ,
EE:C9:28:E5:5B:5C, 2018-05-31 10:39:18, 2018-05-31 10:39:18, -73,        2, (not associated) ,
80:5A:04:A7:17:3E, 2018-05-31 10:39:19, 2018-05-31 10:39:19, -92,        1, (not associated) ,
EA:71:17:FC:A3:BE, 2018-05-31 10:39:06, 2018-05-31 10:39:06, -52,        1, (not associated) ,
D2:AF:7F:EE:D3:26, 2018-05-31 10:39:05, 2018-05-31 10:39:10, -80,        2, (not associated) ,
78:4F:43:79:DA:A2, 2018-05-31 10:29:06, 2018-05-31 10:39:10, -80,       11, (not associated) ,
E4:A4:71:22:2F:A9, 2018-05-31 10:39:07, 2018-05-31 10:39:07, -87,        1, (not associated) ,PSU
92:F8:73:93:00:54, 2018-05-31 10:38:54, 2018-05-31 10:38:54, -72,        2, (not associated) ,
7E:A4:D0:C8:48:E1, 2018-05-31 10:38:57, 2018-05-31 10:38:57, -87,        1, (not associated) ,
18:65:90:79:F1:41, 2018-05-31 10:22:20, 2018-05-31 10:38:57, -88,        9, 40:CE:24:AF:4D:AF,
26:34:C7:D6:38:2C, 2018-05-31 10:38:41, 2018-05-31 10:38:41, -65,        2, (not associated) ,
DA:BA:AF:D3:33:F9, 2018-05-31 10:38:42, 2018-05-31 10:38:42, -75,        8, (not associated) ,
