Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:8F:76:7D:B9:22, 2018-05-25 13:48:03, 2018-05-25 13:50:49,  -1,       14, 7C:95:F3:CC:64:10,
00:24:2C:02:A3:13, 2018-05-25 13:46:16, 2018-05-25 13:50:49,  -1,      126, 7C:95:F3:CC:6D:32,
F0:98:9D:9F:05:CE, 2018-05-25 13:49:58, 2018-05-25 13:50:49, -81,       10, 44:AD:D9:C6:73:42,
56:DB:A8:81:A7:33, 2018-05-25 13:50:47, 2018-05-25 13:50:47, -84,        1, (not associated) ,
DC:EF:CA:FF:83:9A, 2018-05-25 13:31:16, 2018-05-25 13:50:48, -88,       14, 7C:95:F3:CC:6D:32,TMobileWingman
40:4E:36:8D:B2:B6, 2018-05-25 13:44:28, 2018-05-25 13:50:37, -73,       31, 3C:CE:73:F9:23:A2,PSU Secure
44:2C:05:F0:E0:43, 2018-05-25 13:30:58, 2018-05-25 13:50:38, -75,       53, D4:5D:DF:4B:6D:A8,
98:00:C6:AD:57:B0, 2018-05-25 13:31:09, 2018-05-25 13:50:38, -75,       86, 7C:95:F3:CC:68:F2,PSU Secure
A6:B7:FE:EF:B8:64, 2018-05-25 13:50:40, 2018-05-25 13:50:40, -77,        2, (not associated) ,
6A:B9:5F:86:77:17, 2018-05-25 13:50:35, 2018-05-25 13:50:35, -77,        1, (not associated) ,
88:71:E5:AA:65:CB, 2018-05-25 13:31:05, 2018-05-25 13:50:37, -78,       23, D4:5D:DF:4B:6D:A8,
CA:26:DC:A7:08:3D, 2018-05-25 13:50:38, 2018-05-25 13:50:38, -82,        1, (not associated) ,
70:11:24:F2:5D:F5, 2018-05-25 13:50:40, 2018-05-25 13:50:40, -85,        1, (not associated) ,PSU
9C:F3:87:2A:7C:C2, 2018-05-25 13:30:41, 2018-05-25 13:50:35, -86,        5, 3A:65:90:76:88:2B,
8A:36:F8:3E:EB:6B, 2018-05-25 13:50:37, 2018-05-25 13:50:37, -87,        1, (not associated) ,
EC:89:14:A8:5D:B4, 2018-05-25 13:33:03, 2018-05-25 13:50:23, -47,       29, 68:99:CD:7C:C4:C2,
