Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
30:52:CB:FD:39:C8, 2018-05-25 15:33:59, 2018-05-25 15:33:59, -86,        3, F4:1F:C2:E6:31:12,
F4:0F:24:03:5F:49, 2018-05-25 15:33:45, 2018-05-25 15:33:45, -89,        1, (not associated) ,
D0:04:01:49:BA:35, 2018-05-25 15:33:36, 2018-05-25 15:33:36, -85,        1, (not associated) ,PSU Guest
62:20:60:2D:A1:ED, 2018-05-25 15:33:08, 2018-05-25 15:33:08, -83,        2, (not associated) ,Amazon-GP7
AC:5F:3E:E9:04:A7, 2018-05-25 15:25:40, 2018-05-25 15:32:45, -79,        7, (not associated) ,attwifi
CC:3D:82:F3:A6:A6, 2018-05-25 15:32:10, 2018-05-25 15:32:10, -82,        4, (not associated) ,PSU Secure
E4:FA:ED:B0:80:6A, 2018-05-25 15:23:47, 2018-05-25 15:31:21, -61,       15, D0:57:4C:09:C1:C0,PSU
06:93:AF:0E:EE:4E, 2018-05-25 15:31:08, 2018-05-25 15:31:08, -81,        1, (not associated) ,
CC:61:E5:1A:F8:97, 2018-05-25 15:30:22, 2018-05-25 15:31:07, -85,       20, 7C:95:F3:CC:BC:51,
A4:08:EA:82:9D:75, 2018-05-25 15:30:57, 2018-05-25 15:30:57, -80,        1, (not associated) ,
AA:DB:D5:04:95:00, 2018-05-25 15:30:44, 2018-05-25 15:30:44, -85,        2, (not associated) ,TMobileWingman
62:57:F8:CC:13:5A, 2018-05-25 15:30:45, 2018-05-25 15:30:47, -86,        3, (not associated) ,
A2:1A:90:7B:37:73, 2018-05-25 15:30:31, 2018-05-25 15:30:31, -71,        2, (not associated) ,
B2:09:75:24:A5:0F, 2018-05-25 15:30:31, 2018-05-25 15:30:31, -84,        1, (not associated) ,
20:68:9D:F3:F7:8B, 2018-05-25 15:27:18, 2018-05-25 15:30:36, -85,        3, (not associated) ,PSU
48:A1:95:E2:C1:2C, 2018-05-25 15:27:17, 2018-05-25 15:30:31, -89,        3, (not associated) ,PSU Secure
98:B8:E3:B1:3E:1C, 2018-05-25 15:30:21, 2018-05-25 15:30:21, -75,        1, (not associated) ,
